file_name,y_test,CNN_y_pred,CNN_y_prediction,VGG16_y_pred,VGG16_y_prediction,ResNet50_y_pred,ResNet50_y_prediction,EfficientNetB0_y_pred,EfficientNetB0_y_prediction
21B002-01-024-1_(129).jpg,1,1,0.9999975,1,1.0,1,0.9997002,1,0.6817212
21B002-01-003-1_(144).jpg,1,1,1.0,1,1.0,1,0.99970824,1,0.9309263
21B002-01-022-1_(15).jpg,1,1,0.95878077,1,0.9992865,1,0.7667386,0,0.3058133
21B002-01-021-1_(68).jpg,1,1,0.84732574,1,0.9994691,1,0.8544555,0,0.14957534
21B002-01-022-1_(118).jpg,1,0,0.43098262,1,0.92294514,1,0.8757776,0,0.0657266
21B002-01-022-1_(121).jpg,1,1,0.5014439,1,0.98613864,1,0.94557476,0,0.08432092
21B002-01-004-1_(92).jpg,1,1,0.96409047,1,0.99999976,1,0.99895954,0,0.12243684
21B002-01-022-1_(146).jpg,1,1,0.5728317,1,0.96704334,1,0.98785317,0,0.14274772
21B002-01-022-1_(110).jpg,1,1,0.8642616,1,0.9986594,1,0.8141456,0,0.37267458
21B002-01-021-1_(136).jpg,1,1,0.8298482,1,0.90149003,0,0.14110756,1,0.8767897
21B002-01-022-1_(49).jpg,1,1,0.81357014,1,0.984838,1,0.9891465,1,0.73224
21B002-01-007-1_(130).jpg,1,1,1.0,1,1.0,1,0.99642146,1,0.9997062
21B002-01-021-1_(95).jpg,1,1,0.8361875,1,0.99978524,1,0.99426633,1,0.5003532
21B002-01-024-1_(118).jpg,1,1,0.99822694,1,1.0,1,0.9997378,1,0.91007817
21B002-01-024-1_(61).jpg,1,1,0.9998093,1,0.99999154,1,0.9999999,1,0.95798784
21B002-01-020-1_(2).jpg,1,1,0.99936885,1,0.99999523,1,0.9868426,1,0.96316165
21B002-01-024-1_(127).jpg,1,1,0.9999937,1,1.0,1,0.99992883,1,0.9552796
21B002-01-009-1_(133).jpg,1,1,0.9850653,1,0.9982657,1,0.99998236,1,0.76817846
21B002-01-001-1_(2).jpg,1,0,0.21319717,0,0.004271397,1,0.89121896,1,0.99929595
21B002-01-021-1_(73).jpg,1,1,0.6160256,1,0.98137844,1,0.999141,1,0.63973427
21B002-01-004-1_(74).jpg,1,1,0.99863017,1,1.0,1,0.9948407,1,0.6528769
21B002-01-001-1_(68).jpg,1,0,0.2933919,0,0.098279,0,0.2301294,0,0.31585568
21B002-01-017-1_(151).jpg,1,1,0.87825274,1,0.99944705,1,0.99958223,1,0.999972
21B002-01-021-1_(110).jpg,1,0,0.28987738,0,0.46320418,1,0.99035966,1,0.60364026
21B002-01-004-1_(80).jpg,1,1,1.0,1,1.0,1,0.9998977,1,0.9983931
21B002-01-021-1_(71).jpg,1,1,0.812324,1,0.99119824,0,0.23071045,1,0.7329854
21B002-01-022-1_(147).jpg,1,0,0.08262247,0,0.16512431,1,0.9227533,0,0.09858493
21B002-01-024-1_(65).jpg,1,1,1.0,1,1.0,1,0.9999893,1,1.0
21B002-01-014-1_(94).jpg,1,0,0.25143522,1,0.5198634,1,0.55033296,1,0.789574
21B002-01-022-1_(77).jpg,1,1,0.99999547,1,0.99926454,1,0.99995327,1,1.0
21B002-01-022-1_(50).jpg,1,1,0.9287124,1,0.99997926,1,0.9981249,0,0.35283062
21B002-01-022-1_(85).jpg,1,1,0.6576716,1,0.9901681,1,0.98335105,0,0.29800197
21B002-01-002-1_(13).jpg,0,0,0.39158013,0,0.04510871,0,0.0030870803,0,0.10510885
21B002-01-014-1_(36).jpg,0,0,0.21909052,0,0.24705087,0,0.17534055,1,0.9162037
21B002-01-002-1_(60).jpg,0,0,0.0070089707,0,2.7513734e-06,0,0.00032865818,0,0.015027382
21B002-01-002-1_(87).jpg,0,0,0.021356022,0,1.24588605e-05,0,0.0004425048,0,0.0808994
21B002-01-012-1_(49).jpg,0,0,0.095799394,0,0.00080032187,0,0.00033828002,1,0.9516976
21B002-01-009-1_(47).jpg,0,0,0.0451297,0,0.024438439,0,0.0010446591,0,0.064319484
21B002-01-014-1_(46).jpg,0,1,0.69140065,1,0.8884227,1,0.96422654,0,0.19358605
21B002-01-009-1_(18).jpg,0,0,0.38542858,0,0.0006142354,0,0.3899219,0,0.1790022
21B002-01-012-1_(104).jpg,0,0,0.14837949,0,4.7273625e-06,0,0.020483742,1,0.530117
21B002-01-009-1_(60).jpg,0,0,0.03475316,0,0.0014286109,0,0.00034081397,0,0.107937336
21B002-01-012-1_(98).jpg,0,0,0.18362159,0,0.1759454,0,0.4323611,0,0.079753436
21B002-01-014-1_(31).jpg,0,1,0.78137285,0,0.2551621,0,0.040577423,1,0.5395159
21B002-01-002-1_(92).jpg,0,0,0.026523843,0,4.033049e-05,0,0.0009652729,0,0.21405117
21B002-01-009-1_(106).jpg,0,0,0.16678512,0,0.010959536,1,0.82246417,0,0.16561975
21B002-01-001-1_(134).jpg,0,0,0.08910437,0,0.0030668338,0,0.0007402385,1,0.9645056
21B002-01-012-1_(9).jpg,0,0,0.046470072,0,0.0024031363,0,0.41011977,0,0.2101416
21B002-01-014-1_(50).jpg,0,0,0.16053279,1,0.50184566,0,0.12661986,1,0.80407786
21B002-01-009-1_(52).jpg,0,0,0.07098483,0,0.0011389045,0,0.02982671,0,0.14548735
21B002-01-009-1_(89).jpg,0,0,0.017723577,0,5.3494798e-05,0,0.003389279,0,0.072812386
21B002-01-014-1_(23).jpg,0,0,0.124906175,0,0.0020516387,0,0.063016176,0,0.16883156
21B002-01-012-1_(16).jpg,0,0,0.07841828,0,0.00041393965,0,0.0038603311,1,0.843144
21B002-01-002-1_(123).jpg,0,0,0.022039017,0,8.880716e-06,0,0.0010813675,0,0.035341963
21B002-01-012-1_(14).jpg,0,0,0.30964988,1,0.5462718,0,0.043705694,1,0.72712845
21B002-01-009-1_(94).jpg,0,0,0.030603198,0,0.0010102566,0,0.0017301183,0,0.12251217
21B002-01-002-1_(73).jpg,0,0,0.019216703,0,1.7564425e-05,0,0.0016183571,1,0.602954
21B002-01-014-1_(48).jpg,0,0,0.13069744,0,0.19063286,1,0.72075605,0,0.046341486
21B002-01-009-1_(15).jpg,0,1,0.79743147,0,0.0014435723,0,0.013386177,0,0.36825475
21B002-01-012-1_(38).jpg,0,0,0.063748784,0,0.00046915872,0,0.0008138729,1,0.89282
21B002-01-009-1_(63).jpg,0,0,0.11956626,0,0.00047680328,0,0.033585884,0,0.10175961
21B002-01-001-1_(50).jpg,0,0,0.02611778,0,0.016207624,0,0.023796063,0,0.48338723
21B002-01-002-1_(72).jpg,0,0,0.021604056,0,1.6946673e-05,0,0.00011719437,0,0.024977045
21B002-01-009-1_(91).jpg,0,0,0.12923983,0,0.003952176,0,0.05407862,0,0.23322612
21B002-01-002-1_(1).jpg,0,1,0.91452056,1,0.9471103,0,0.12049099,1,0.9983311
21B002-01-014-1_(134).jpg,0,0,0.12225614,0,6.618979e-05,0,0.008365456,0,0.04128937
21B002-01-014-1_(141).jpg,0,0,0.28848594,0,0.0037068902,1,0.7121915,0,0.034725882
21B002-01-002-1_(12).jpg,0,0,0.061529882,0,0.2627619,0,0.21582,1,0.9871323
21B002-01-009-1_(88).jpg,0,0,0.117686436,0,0.0042544715,0,0.1903246,0,0.058503617
21B002-01-012-1_(81).jpg,0,0,0.08642234,0,3.85026e-05,0,0.107165866,0,0.35826018
21B002-01-012-1_(119).jpg,0,0,0.20690355,0,0.01578606,0,0.44976586,1,0.6111332
21B002-01-001-1_(46).jpg,0,0,0.041212,0,0.00035569115,0,0.002987535,0,0.026712898
21B002-01-012-1_(42).jpg,0,0,0.05724482,0,0.022202063,0,0.014074527,0,0.1144043
21B002-01-014-1_(45).jpg,0,0,0.25251168,1,0.5010287,1,0.8119362,0,0.12861267
21B002-01-001-1_(125).jpg,0,1,0.7107803,1,0.9838996,1,0.9980502,1,0.91344434
21B002-01-009-1_(85).jpg,0,0,0.47706512,0,0.017245015,1,0.96629333,0,0.06809453
21B002-01-014-1_(130).jpg,0,0,0.10883358,0,0.00025417868,0,0.103989854,0,0.17089857
21B002-01-009-1_(2).jpg,0,1,0.5025209,0,0.00038176437,1,0.5609772,0,0.3423592
21B002-01-002-1_(62).jpg,0,0,0.0057112775,0,7.1968366e-06,0,0.00035541097,0,0.2962281
21B002-01-001-1_(70).jpg,0,0,0.32385358,0,0.12141856,1,0.7010388,1,0.84733725
21B002-01-014-1_(70).jpg,0,0,0.38246652,1,0.6685925,1,0.7682385,1,0.8115482
21B002-01-009-1_(36).jpg,0,0,0.04903222,0,0.09779623,0,0.004486942,0,0.01113215
21B002-01-002-1_(28).jpg,0,0,0.15757592,0,0.1025242,0,0.0061470666,0,0.083683714
21B002-01-009-1_(66).jpg,0,0,0.0414332,0,0.0004571804,0,0.17118217,0,0.19747597
21B002-01-001-1_(120).jpg,0,0,0.17456944,0,0.08742412,0,0.035903085,0,0.20535696
21B002-01-002-1_(27).jpg,0,1,0.5707554,0,0.3893092,0,0.11171315,0,0.058624502
21B002-01-009-1_(6).jpg,0,0,0.13719225,0,0.20311353,0,0.27381462,0,0.45277077
21B002-01-001-1_(32).jpg,0,0,0.07809423,0,0.0008048176,0,0.0142389005,1,0.5332021
21B002-01-012-1_(92).jpg,0,0,0.08981378,0,0.005304518,0,0.10397406,0,0.14902626
21B002-01-012-1_(80).jpg,0,0,0.10091067,0,1.5816342e-05,0,0.049536,0,0.4760201
21B002-01-012-1_(50).jpg,0,0,0.10097302,0,0.47025266,0,0.023440888,1,0.9803884
21B002-01-001-1_(152).jpg,0,0,0.3908087,0,0.27467805,0,0.23867223,1,0.99867636
21B002-01-002-1_(57).jpg,0,0,0.082056865,0,0.00011865914,0,0.0018042093,0,0.20698597
21B002-01-001-1_(51).jpg,0,0,0.094786316,0,0.00631094,0,0.0037357504,0,0.21071263
21B002-01-002-1_(107).jpg,0,0,0.015592648,0,0.0015332666,0,1.8724568e-05,0,0.068220355
21B002-01-001-1_(38).jpg,0,0,0.07061329,0,0.00035604095,0,0.0004939074,0,0.415426
21B002-01-009-1_(26).jpg,0,0,0.120722994,0,0.07156538,1,0.5128791,0,0.0814212
